NP_000019.2		A0A0S2A4E4	A0A0S2A4E4_HUMAN	unreviewed	4-alpha-glucanotransferase (EC 2.4.1.25) (EC 3.2.1.33) (Amylo-alpha-1,6-glucosidase) (Dextrin 6-alpha-D-glucosidase) (Glycogen debrancher) (Glycogen debranching enzyme) (Oligo-1,4-1,4-glucantransferase)	AGL hCG_31497	Homo sapiens (Human)	1532
NP_000021.1		P21549	SPYA_HUMAN	reviewed	Serine--pyruvate aminotransferase (SPT) (EC 2.6.1.51) (Alanine--glyoxylate aminotransferase) (AGT) (EC 2.6.1.44)	AGXT AGT1 SPAT	Homo sapiens (Human)	392
NP_000022.3		A0A140VJL9	A0A140VJL9_HUMAN	unreviewed	Delta-aminolevulinic acid dehydratase (EC 4.2.1.24)		Homo sapiens (Human)	330
NP_000033.2		P02749	APOH_HUMAN	reviewed	Beta-2-glycoprotein 1 (APC inhibitor) (Activated protein C-binding protein) (Anticardiolipin cofactor) (Apolipoprotein H) (Apo-H) (Beta-2-glycoprotein I) (B2GPI) (Beta(2)GPI)	APOH B2G1	Homo sapiens (Human)	345
NP_000033.2		A0A384NKM6	A0A384NKM6_HUMAN	unreviewed	Apolipoprotein H (Beta-2-glycoprotein 1) (Beta-2-glycoprotein I)	APOH hCG_1985715	Homo sapiens (Human)	345
NP_000037.2		A0A024RAJ9	A0A024RAJ9_HUMAN	unreviewed	Arylsulfatase B, isoform CRA_a	ARSB hCG_37743	Homo sapiens (Human)	533
NP_000038.2		P51690	ARSL_HUMAN	reviewed	Arylsulfatase L (EC 3.1.6.-) (Arylsulfatase E) (ASE)	ARSL ARSE	Homo sapiens (Human)	589
NP_000042.3		Q13315	ATM_HUMAN	reviewed	Serine-protein kinase ATM (EC 2.7.11.1) (Ataxia telangiectasia mutated) (A-T mutated)	ATM	Homo sapiens (Human)	3056
NP_000042.3		A0A024R3C7	A0A024R3C7_HUMAN	unreviewed	Serine-protein kinase ATM (EC 2.7.11.1)	ATM hCG_38040	Homo sapiens (Human)	3056
NP_000044.2		A0A024RDX3	A0A024RDX3_HUMAN	unreviewed	P-type Cu(+) transporter (EC 7.2.2.8)	ATP7B hCG_27492	Homo sapiens (Human)	1465
NP_000046.1		P06276	CHLE_HUMAN	reviewed	Cholinesterase (EC 3.1.1.8) (Acylcholine acylhydrolase) (Butyrylcholine esterase) (Choline esterase II) (Pseudocholinesterase)	BCHE CHE1	Homo sapiens (Human)	602
NP_000053.2	NP_000053.2 -> P05155-1	P05155	IC1_HUMAN	reviewed	Plasma protease C1 inhibitor (C1 Inh) (C1Inh) (C1 esterase inhibitor) (C1-inhibiting factor) (Serpin G1)	SERPING1 C1IN C1NH	Homo sapiens (Human)	500
NP_000053.2		E9KL26	E9KL26_HUMAN	unreviewed	Epididymis tissue protein Li 173 (Serpin peptidase inhibitor clade G member 1 isoform 1)	SERPING1	Homo sapiens (Human)	500
NP_000054.2		Q5JP69	Q5JP69_HUMAN	unreviewed	C3/C5 convertase (EC 3.4.21.43) (Complement C2) (Complement C2a fragment) (Complement C2b fragment)	C2 hCG_43694	Homo sapiens (Human)	752
NP_000055.2		P01024	CO3_HUMAN	reviewed	Complement C3 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 1) [Cleaved into: Complement C3 beta chain; C3-beta-c (C3bc); Complement C3 alpha chain; C3a anaphylatoxin; Acylation stimulating protein (ASP) (C3adesArg); Complement C3b alpha' chain; Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2]	C3 CPAMD1	Homo sapiens (Human)	1663
NP_000055.2		B4DR57	B4DR57_HUMAN	unreviewed	cDNA FLJ60818, highly similar to Complement C3		Homo sapiens (Human)	235
NP_000055.2		V9HWA9	V9HWA9_HUMAN	unreviewed	C3-beta-c (C3a anaphylatoxin) (Complement C3) (Complement C3 alpha chain) (Complement C3 beta chain) (Complement C3b alpha' chain) (Complement C3c alpha' chain fragment 1) (Complement C3c alpha' chain fragment 2) (Complement C3d fragment) (Complement C3dg fragment) (Complement C3f fragment) (Complement C3g fragment)	HEL-S-62p	Homo sapiens (Human)	1663
NP_000058.1		P00918	CAH2_HUMAN	reviewed	Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase C) (CAC) (Carbonic anhydrase II) (CA-II)	CA2	Homo sapiens (Human)	260
NP_000060.2		Q13698	CAC1S_HUMAN	reviewed	Voltage-dependent L-type calcium channel subunit alpha-1S (Calcium channel, L type, alpha-1 polypeptide, isoform 3, skeletal muscle) (Voltage-gated calcium channel subunit alpha Cav1.1)	CACNA1S CACH1 CACN1 CACNL1A3	Homo sapiens (Human)	1873
NP_000062.1		Q9NTF0	Q9NTF0_HUMAN	unreviewed	Cystathionine beta-synthase (EC 4.2.1.22) (Fragment)	DKFZp727E011	Homo sapiens (Human)	475
NP_000064.1		P09693	CD3G_HUMAN	reviewed	T-cell surface glycoprotein CD3 gamma chain (T-cell receptor T3 gamma chain) (CD antigen CD3g)	CD3G T3G	Homo sapiens (Human)	182
NP_000064.1		B0YIY5	B0YIY5_HUMAN	unreviewed	T-cell receptor T3 gamma chain (T-cell surface glycoprotein CD3 gamma chain)	CD3G hCG_1646880	Homo sapiens (Human)	182
NP_000069.2	NP_000069.2 -> P11597-1	P11597	CETP_HUMAN	reviewed	Cholesteryl ester transfer protein (Lipid transfer protein I)	CETP	Homo sapiens (Human)	493
NP_000069.2		A0A0S2Z3F6	A0A0S2Z3F6_HUMAN	unreviewed	Cholesteryl ester transfer protein (Lipid transfer protein I) (Fragment)	CETP hCG_23902	Homo sapiens (Human)	493
NP_000071.1		Q04844	ACHE_HUMAN	reviewed	Acetylcholine receptor subunit epsilon	CHRNE ACHRE	Homo sapiens (Human)	493
NP_000076.2		A8K8H0	A8K8H0_HUMAN	unreviewed	Chloride channel protein		Homo sapiens (Human)	687
NP_000077.1		A0A024QZB8	A0A024QZB8_HUMAN	unreviewed	Battenin	CLN3 hCG_1745226	Homo sapiens (Human)	438
NP_000079.2		P02452	CO1A1_HUMAN	reviewed	Collagen alpha-1(I) chain (Alpha-1 type I collagen)	COL1A1	Homo sapiens (Human)	1464
NP_000080.2		P08123	CO1A2_HUMAN	reviewed	Collagen alpha-2(I) chain (Alpha-2 type I collagen)	COL1A2	Homo sapiens (Human)	1366
NP_000080.2		A0A0S2Z3H5	A0A0S2Z3H5_HUMAN	unreviewed	Collagen type I alpha 2 isoform 1 (Fragment)	COL1A2	Homo sapiens (Human)	1366
NP_000082.2	NP_000082.2 -> Q01955-1	Q01955	CO4A3_HUMAN	reviewed	Collagen alpha-3(IV) chain (Goodpasture antigen) [Cleaved into: Tumstatin]	COL4A3	Homo sapiens (Human)	1670
NP_000083.3		P53420	CO4A4_HUMAN	reviewed	Collagen alpha-4(IV) chain	COL4A4	Homo sapiens (Human)	1690
NP_000084.3	NP_000084.3 -> P20908-1	P20908	CO5A1_HUMAN	reviewed	Collagen alpha-1(V) chain	COL5A1	Homo sapiens (Human)	1838
NP_000084.3		A0A024R8E5	A0A024R8E5_HUMAN	unreviewed	Collagen, type V, alpha 1, isoform CRA_a	COL5A1 hCG_2021790	Homo sapiens (Human)	1838
NP_000085.1	NP_000085.1 -> Q02388-1	Q02388	CO7A1_HUMAN	reviewed	Collagen alpha-1(VII) chain (Long-chain collagen) (LC collagen)	COL7A1	Homo sapiens (Human)	2944
NP_000085.1		Q59F16	Q59F16_HUMAN	unreviewed	Alpha 1 type VII collagen variant (Fragment)		Homo sapiens (Human)	1027
NP_000086.2	NP_000086.2 -> P49747-1	P49747	COMP_HUMAN	reviewed	Cartilage oligomeric matrix protein (COMP) (Thrombospondin-5) (TSP5)	COMP	Homo sapiens (Human)	757
NP_000088.3	NP_000088.3 -> P36551-1	P36551	HEM6_HUMAN	reviewed	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial (COX) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3)	CPOX CPO CPX	Homo sapiens (Human)	454
NP_000089.1		P23786	CPT2_HUMAN	reviewed	Carnitine O-palmitoyltransferase 2, mitochondrial (EC 2.3.1.21) (Carnitine palmitoyltransferase II) (CPT II)	CPT2 CPT1	Homo sapiens (Human)	658
NP_000089.1		A0A140VK13	A0A140VK13_HUMAN	unreviewed	Testicular secretory protein Li 13		Homo sapiens (Human)	658
NP_000092.2		P13498	CY24A_HUMAN	reviewed	Cytochrome b-245 light chain (Cytochrome b(558) alpha chain) (Cytochrome b558 subunit alpha) (Neutrophil cytochrome b 22 kDa polypeptide) (Superoxide-generating NADPH oxidase light chain subunit) (p22 phagocyte B-cytochrome) (p22-phox) (p22phox)	CYBA	Homo sapiens (Human)	195
NP_000092.2		B4DT46	B4DT46_HUMAN	unreviewed	Cytochrome b(558) alpha chain (Cytochrome b-245 light chain) (Cytochrome b558 subunit alpha) (Neutrophil cytochrome b 22 kDa polypeptide) (Superoxide-generating NADPH oxidase light chain subunit) (p22 phagocyte B-cytochrome) (p22-phox)		Homo sapiens (Human)	131
NP_000094.2		Q8IYG4	Q8IYG4_HUMAN	unreviewed	Cytochrome P450, family 19, subfamily A, polypeptide 1	CYP19A1	Homo sapiens (Human)	503
NP_000095.2		Q16678	CP1B1_HUMAN	reviewed	Cytochrome P450 1B1 (EC 1.14.14.1) (CYPIB1) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152)	CYP1B1	Homo sapiens (Human)	543
NP_000095.2		Q53TK1	Q53TK1_HUMAN	unreviewed	Cytochrome P450, family 1, subfamily B, polypeptide 1, isoform CRA_a (cDNA, FLJ93081, Homo sapiens cytochrome P450, family 1, subfamily B, polypeptide 1(CYP1B1), mRNA)	CYP1B1 hCG_14819	Homo sapiens (Human)	543
NP_000097.3		C1ID52	C1ID52_HUMAN	unreviewed	Cytochrome P450 2D6 (Cytochrome P450, family 2, subfamily D, polypeptide 6, isoform CRA_a)	CYP2D6 hCG_41551	Homo sapiens (Human)	497
NP_000102.1		P40879	S26A3_HUMAN	reviewed	Chloride anion exchanger (Down-regulated in adenoma) (Protein DRA) (Solute carrier family 26 member 3)	SLC26A3 DRA	Homo sapiens (Human)	764
NP_000103.2		P50443	S26A2_HUMAN	reviewed	Sulfate transporter (Diastrophic dysplasia protein) (Solute carrier family 26 member 2)	SLC26A2 DTD DTDST	Homo sapiens (Human)	739
NP_000104.1	NP_000104.1 -> O14656-1	O14656	TOR1A_HUMAN	reviewed	Torsin-1A (Dystonia 1 protein) (Torsin ATPase-1A) (EC 3.6.4.-) (Torsin family 1 member A)	TOR1A DQ2 DYT1 TA TORA	Homo sapiens (Human)	332
NP_000104.1		B3KPA1	B3KPA1_HUMAN	unreviewed	Dystonia 1 protein (Torsin-1A)		Homo sapiens (Human)	301
NP_000107.1		A0A0S2Z4K0	A0A0S2Z4K0_HUMAN	unreviewed	Tafazzin family protein (Fragment)	TAZ	Homo sapiens (Human)	292
NP_000109.1		Q5T9B9	Q5T9B9_HUMAN	unreviewed	Endoglin (Osler-Rendu-Weber syndrome 1) (Endoglin (Osler-Rendu-Weber syndrome 1), isoform CRA_b)	ENG hCG_18549	Homo sapiens (Human)	625
NP_000110.2	NP_000110.2 -> P16452-2	P16452	EPB42_HUMAN	reviewed	Protein 4.2 (P4.2) (Erythrocyte membrane protein band 4.2) (Erythrocyte protein 4.2)	EPB42 E42P	Homo sapiens (Human)	691
NP_000112.1	NP_000112.1 -> P19235-1	P19235	EPOR_HUMAN	reviewed	Erythropoietin receptor (EPO-R)	EPOR	Homo sapiens (Human)	508
NP_000115.1		Q59FF6	Q59FF6_HUMAN	unreviewed	Excision repair cross-complementing rodent repair deficiency, complementation group 6 variant (Fragment)		Homo sapiens (Human)	870
NP_000116.2		G4XH65	G4XH65_HUMAN	unreviewed	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1	Homo sapiens (Human)	595
NP_000117.1		A0A0S2Z3L0	A0A0S2Z3L0_HUMAN	unreviewed	Electron transfer flavoprotein subunit alpha, mitochondrial (Fragment)	ETFA	Homo sapiens (Human)	333
NP_000119.1	NP_000119.1 -> P03951-1	P03951	FA11_HUMAN	reviewed	Coagulation factor XI (FXI) (EC 3.4.21.27) (Plasma thromboplastin antecedent) (PTA) [Cleaved into: Coagulation factor XIa heavy chain; Coagulation factor XIa light chain]	F11	Homo sapiens (Human)	625
NP_000120.2		P00488	F13A_HUMAN	reviewed	Coagulation factor XIII A chain (Coagulation factor XIIIa) (EC 2.3.2.13) (Protein-glutamine gamma-glutamyltransferase A chain) (Transglutaminase A chain)	F13A1 F13A	Homo sapiens (Human)	732
NP_000121.2		P12259	FA5_HUMAN	reviewed	Coagulation factor V (Activated protein C cofactor) (Proaccelerin, labile factor) [Cleaved into: Coagulation factor V heavy chain; Coagulation factor V light chain]	F5	Homo sapiens (Human)	2224
NP_000125.2		P12104	FABPI_HUMAN	reviewed	Fatty acid-binding protein, intestinal (Fatty acid-binding protein 2) (Intestinal-type fatty acid-binding protein) (I-FABP)	FABP2 FABPI	Homo sapiens (Human)	132
NP_000127.2		Q00597	FANCC_HUMAN	reviewed	Fanconi anemia group C protein (Protein FACC)	FANCC FAC FACC	Homo sapiens (Human)	558
NP_000127.2		A0A024R9N2	A0A024R9N2_HUMAN	unreviewed	Fanconi anemia group C protein (Protein FACC)	FANCC hCG_32888	Homo sapiens (Human)	558
NP_000128.1	NP_000128.1 -> P16930-1	P16930	FAAA_HUMAN	reviewed	Fumarylacetoacetase (FAA) (EC 3.7.1.2) (Beta-diketonase) (Fumarylacetoacetate hydrolase)	FAH	Homo sapiens (Human)	419
NP_000128.1		A0A384P5L6	A0A384P5L6_HUMAN	unreviewed	Fumarylacetoacetase (EC 3.7.1.2) (Fumarylacetoacetate hydrolase)		Homo sapiens (Human)	419
NP_000129.3		P35555	FBN1_HUMAN	reviewed	Fibrillin-1 [Cleaved into: Asprosin]	FBN1 FBN	Homo sapiens (Human)	2871
NP_000130.1		Q01362	FCERB_HUMAN	reviewed	High affinity immunoglobulin epsilon receptor subunit beta (FcERI) (Fc epsilon receptor I beta-chain) (IgE Fc receptor subunit beta) (Membrane-spanning 4-domains subfamily A member 2)	MS4A2 APY FCER1B IGER	Homo sapiens (Human)	244
NP_000135.2		A0A0S2Z3G4	A0A0S2Z3G4_HUMAN	unreviewed	Frataxin intermediate form (EC 1.16.3.1) (Frataxin mature form) (Frataxin, mitochondrial) (Fragment)	FXN hCG_2042989	Homo sapiens (Human)	210
NP_000136.2		A0A1D5RMN4	A0A1D5RMN4_HUMAN	unreviewed	Follicle-stimulating hormone receptor (Follitropin receptor)	FSHR	Homo sapiens (Human)	695
NP_000138.2		P04066	FUCO_HUMAN	reviewed	Tissue alpha-L-fucosidase (EC 3.2.1.51) (Alpha-L-fucosidase I) (Alpha-L-fucoside fucohydrolase 1) (Alpha-L-fucosidase 1)	FUCA1 Nbla10230	Homo sapiens (Human)	466
NP_000140.1		P21217	FUT3_HUMAN	reviewed	3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3 (EC 2.4.1.65) (Alpha-3-fucosyltransferase FUT3) (EC 2.4.1.-) (Blood group Lewis alpha-4-fucosyltransferase) (Lewis FT) (Fucosyltransferase 3) (Fucosyltransferase III) (FucT-III)	FUT3 FT3B LE	Homo sapiens (Human)	361
NP_000140.1		A8K737	A8K737_HUMAN	unreviewed	Fucosyltransferase (Fucosyltransferase 3 (Galactoside 3(4)-L-fucosyltransferase, Lewis blood group)) (cDNA FLJ78078, highly similar to Human alpha (1,3/1,4) fucosyltransferase (FUT3))	FUT3 hCG_1645372	Homo sapiens (Human)	361
NP_000144.2		A0A0A0MQV0	A0A0A0MQV0_HUMAN	unreviewed	Galactocerebrosidase (EC 3.2.1.46) (Galactosylceramidase)		Homo sapiens (Human)	685
NP_000146.2		A0A0S2Z3Y7	A0A0S2Z3Y7_HUMAN	unreviewed	Galactose-1-phosphate uridylyltransferase (EC 2.7.7.12) (Fragment)	GALT	Homo sapiens (Human)	379
NP_000147.1	NP_000147.1 -> Q14353-1	Q14353	GAMT_HUMAN	reviewed	Guanidinoacetate N-methyltransferase (EC 2.1.1.2)	GAMT	Homo sapiens (Human)	236
NP_000147.1		V9HWB2	V9HWB2_HUMAN	unreviewed	Guanidinoacetate N-methyltransferase (EC 2.1.1.2)	HEL-S-20 GAMT hCG_21569	Homo sapiens (Human)	236
NP_000159.3		P10071	GLI3_HUMAN	reviewed	Transcriptional activator GLI3 (GLI3 form of 190 kDa) (GLI3-190) (GLI3 full-length protein) (GLI3FL) [Cleaved into: Transcriptional repressor GLI3R (GLI3 C-terminally truncated form) (GLI3 form of 83 kDa) (GLI3-83)]	GLI3	Homo sapiens (Human)	1580
NP_000160.1		P06280	AGAL_HUMAN	reviewed	Alpha-galactosidase A (EC 3.2.1.22) (Alpha-D-galactosidase A) (Alpha-D-galactoside galactohydrolase) (Galactosylgalactosylglucosylceramidase GLA) (EC 3.2.1.47) (Melibiase) (Agalsidase)	GLA	Homo sapiens (Human)	429
NP_000160.1		Q53Y83	Q53Y83_HUMAN	unreviewed	Alpha-galactosidase (EC 3.2.1.-)	GLA hCG_20401	Homo sapiens (Human)	429
NP_000161.2		P23378	GCSP_HUMAN	reviewed	Glycine dehydrogenase (decarboxylating), mitochondrial (EC 1.4.4.2) (Glycine cleavage system P protein) (Glycine decarboxylase) (Glycine dehydrogenase (aminomethyl-transferring))	GLDC GCSP	Homo sapiens (Human)	1020
NP_000164.5		P07359	GP1BA_HUMAN	reviewed	Platelet glycoprotein Ib alpha chain (GP-Ib alpha) (GPIb-alpha) (GPIbA) (Glycoprotein Ibalpha) (Antigen CD42b-alpha) (CD antigen CD42b) [Cleaved into: Glycocalicin]	GP1BA	Homo sapiens (Human)	652
NP_000164.5		L7UYB8	L7UYB8_HUMAN	unreviewed	Glycoprotein Ib alpha polypeptide G942 deletion mutant	GP1BA	Homo sapiens (Human)	333
NP_000165.1		P14770	GPIX_HUMAN	reviewed	Platelet glycoprotein IX (GP-IX) (GPIX) (Glycoprotein 9) (CD antigen CD42a)	GP9	Homo sapiens (Human)	177
NP_000168.1		A0A384MEF1	A0A384MEF1_HUMAN	unreviewed	Actin-depolymerizing factor (Brevin) (Gelsolin)		Homo sapiens (Human)	782
NP_000170.1		Q3SWU9	Q3SWU9_HUMAN	unreviewed	MSH6 protein (Fragment)	MSH6	Homo sapiens (Human)	252
NP_000171.1		Q02846	GUC2D_HUMAN	reviewed	Retinal guanylyl cyclase 1 (RETGC-1) (EC 4.6.1.2) (CG-E) (Guanylate cyclase 2D, retinal) (Rod outer segment membrane guanylate cyclase) (ROS-GC)	GUCY2D CORD6 GUC1A4 GUC2D RETGC RETGC1	Homo sapiens (Human)	1103
NP_000173.2	NP_000173.2 -> P40939-1	P40939	ECHA_HUMAN	reviewed	Trifunctional enzyme subunit alpha, mitochondrial (78 kDa gastrin-binding protein) (Monolysocardiolipin acyltransferase) (EC 2.3.1.-) (TP-alpha) [Includes: Long-chain enoyl-CoA hydratase (EC 4.2.1.17); Long chain 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.211)]	HADHA HADH	Homo sapiens (Human)	763
NP_000173.2		E9KL44	E9KL44_HUMAN	unreviewed	Enoyl-CoA hydratase (EC 4.2.1.17)		Homo sapiens (Human)	763
NP_000176.2		P05546	HEP2_HUMAN	reviewed	Heparin cofactor 2 (Heparin cofactor II) (HC-II) (Protease inhibitor leuserpin-2) (HLS2) (Serpin D1)	SERPIND1 HCF2	Homo sapiens (Human)	499
NP_000176.2		Q8IVC0	Q8IVC0_HUMAN	unreviewed	Serpin peptidase inhibitor, clade D (Heparin cofactor), member 1	SERPIND1	Homo sapiens (Human)	499
NP_000177.2		P08603	CFAH_HUMAN	reviewed	Complement factor H (H factor 1)	CFH HF HF1 HF2	Homo sapiens (Human)	1231
NP_000177.2		A0A024R962	A0A024R962_HUMAN	unreviewed	HCG40889, isoform CRA_b	hCG_40889	Homo sapiens (Human)	1231
NP_000178.2		Q93099	HGD_HUMAN	reviewed	Homogentisate 1,2-dioxygenase (EC 1.13.11.5) (Homogentisate oxygenase) (Homogentisic acid oxidase) (Homogentisicase)	HGD HGO	Homo sapiens (Human)	445
NP_000180.2		P52789	HXK2_HUMAN	reviewed	Hexokinase-2 (EC 2.7.1.1) (Hexokinase type II) (HK II) (Hexokinase-B) (Muscle form hexokinase)	HK2	Homo sapiens (Human)	917
NP_000186.2		Q658M9	Q658M9_HUMAN	unreviewed	Uncharacterized protein DKFZp666K145 (Fragment)	DKFZp666K145	Homo sapiens (Human)	338
NP_000188.1	NP_000188.1 -> P37058-1	P37058	DHB3_HUMAN	reviewed	Testosterone 17-beta-dehydrogenase 3 (EC 1.1.1.64) (17-beta-hydroxysteroid dehydrogenase type 3) (17-beta-HSD 3) (Estradiol 17-beta-dehydrogenase 2) (EC 1.1.1.62) (Short chain dehydrogenase/reductase family 12C member 2) (Testicular 17-beta-hydroxysteroid dehydrogenase)	HSD17B3 EDH17B3 SDR12C2	Homo sapiens (Human)	310
NP_000188.1		Q6FH62	Q6FH62_HUMAN	unreviewed	HSD17B3 protein (Hydroxysteroid (17-beta) dehydrogenase 3) (Hydroxysteroid dehydrogenase 3 isoform 1)	HSD17B3 hCG_33005	Homo sapiens (Human)	310
NP_000189.1	NP_000189.1 -> P26439-1	P26439	3BHS2_HUMAN	reviewed	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2 (3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type II) (3-beta-HSD II) (3-beta-HSD adrenal and gonadal type) [Includes: 3-beta-hydroxy-Delta(5)-steroid dehydrogenase (EC 1.1.1.145) (3-beta-hydroxy-5-ene steroid dehydrogenase) (Progesterone reductase); Steroid Delta-isomerase (EC 5.3.3.1) (Delta-5-3-ketosteroid isomerase)]	HSD3B2 HSDB3B	Homo sapiens (Human)	372
NP_000189.1		A0A024R0F9	A0A024R0F9_HUMAN	unreviewed	Hydroxy-delta-5-steroid dehydrogenase, 3 beta-and steroid delta-isomerase 2, isoform CRA_a	HSD3B2 hCG_38656	Homo sapiens (Human)	372
NP_000190.1		P51688	SPHM_HUMAN	reviewed	N-sulphoglucosamine sulphohydrolase (EC 3.10.1.1) (Sulfoglucosamine sulfamidase) (Sulphamidase)	SGSH HSS	Homo sapiens (Human)	502
NP_000191.1		P15516	HIS3_HUMAN	reviewed	Histatin-3 (Basic histidine-rich protein) (Hst) (Histidine-rich protein 3) (PB) [Cleaved into: Histatin-3; His3-(20-44)-peptide (His3 20/44) (His3-(1-25)-peptide) (His3 1/25) (Histatin-3 1/25) (Histatin-6); His3-(20-43)-peptide (His3 20/43) (His3-(1-24)-peptide) (His3 1/24) (Histatin-3 1/24) (Histatin-5); His3-(20-32)-peptide (His3 20/32) (His3-(1-13)-peptide) (His3 1/13) (Histatin-3 1/13); His3-(20-31)-peptide (His3 20/31) (His3-(1-12)-peptide) (His3 1/12) (Histatin-3 1/12); His3-(20-30)-peptide (His3 20/30) (His3-(1-11)-peptide) (His3 1/11) (Histatin-3 1/11); His3-(24-32)-peptide (His3 24/32) (His3-(5-13)-peptide) (His3 5/13) (Histatin-3 5/13); His3-(24-31)-peptide (His3 24/31) (His3-(5-12)-peptide) (His3 5/12) (Histatin-11) (Histatin-3 5/12); His3-(24-30)-peptide (His3 24/30) (His3-(5-11)-peptide) (His3 5/11) (Histatin-12) (Histatin-3 5/11); His3-(25-32)-peptide (His3 25/32) (His3-(6-13)-peptide) (His3 6/13) (Histatin-3 6/13); His3-(25-30)-peptide (His3 25/30) (His3-(6-11)-peptide) (His3 6/11) (Histatin-3 6/11); His3-(26-32)-peptide (His3 26/32) (His3-(7-13)-peptide) (His3 7/13) (Histatin-3 7/13); His3-(26-31)-peptide (His3 26/31) (His3-(7-12)-peptide) (His3 7/12) (Histatin-3 7/12); His3-(26-30)-peptide (His3 26/30) (His3-(7-11)-peptide) (His3 7/11) (Histatin-3 7/11); His3-(31-51)-peptide (His3 31/51) (His3-(12-32)-peptide) (His3 12/32) (Histatin-3 12/32) (Histatin-4); His3-(31-44)-peptide (His3 31/44) (His3-(12-25)-peptide) (His3 12/25) (Histatin-3 12/25) (Histatin-9); His3-(31-43)-peptide (His3 31/43) (His3-(12-24)-peptide) (His3 12/24) (Histatin-3 12/24) (Histatin-7); His3-(32-44)-peptide (His3 32/44) (His3-(13-25)-peptide) (His3 13/25) (Histatin-10) (Histatin-3 13/25); His3-(32-43)-peptide (His3 32-43) (His3-(13-24)-peptide) (His3 13/24) (Histatin-3 13/24) (Histatin-8); His3-(33-44)-peptide (His3 33/44) (His3-(14-25)-peptide) (His3 14/25) (Histatin-3 14/25); His3-(33-43)-peptide (His3 33/43) (His3-(14-24)-peptide) (His3 14/24) (Histatin-3 14/24); His3-(34-44)-peptide (His3 34/44) (His3-(15-25)-peptide) (His3 15/25) (Histatin-3 15/25); His3-(34-43)-peptide (His3 34/43) (His3-(15-24)-peptide) (His3 15/24) (Histatin-3 15/24); His3-(45-51)-peptide (His3 45/51) (His3-(26-32)-peptide) (His3 26/32) (Histatin-3 26/32); His3-(47-51)-peptide (His3 47/51) (His3-(28-32)-peptide) (His3 28/32) (Histatin-3 28/32); His3-(48-51)-peptide (His3 48/51) (His3-(29-32)-peptide) (His3 29/32) (Histatin-3 29/32)]	HTN3 HIS2	Homo sapiens (Human)	51
NP_000192.2		P05362	ICAM1_HUMAN	reviewed	Intercellular adhesion molecule 1 (ICAM-1) (Major group rhinovirus receptor) (CD antigen CD54)	ICAM1	Homo sapiens (Human)	532
